date,sore throat,isPartial
2021-09-12,34,False
2021-09-19,36,False
2021-09-26,45,False
2021-10-03,46,False
2021-10-10,43,False
2021-10-17,38,False
2021-10-24,35,False
2021-10-31,41,False
2021-11-07,41,False
2021-11-14,38,False
2021-11-21,39,False
2021-11-28,38,False
2021-12-05,36,False
2021-12-12,52,False
2021-12-19,75,False
2021-12-26,100,False
2022-01-02,87,False
2022-01-09,52,False
2022-01-16,37,False
2022-01-23,26,False
2022-01-30,24,False
2022-02-06,23,False
2022-02-13,25,False
2022-02-20,29,False
2022-02-27,28,False
2022-03-06,29,False
2022-03-13,36,False
2022-03-20,39,False
2022-03-27,43,False
2022-04-03,44,False
2022-04-10,45,False
2022-04-17,43,False
2022-04-24,41,False
2022-05-01,41,False
2022-05-08,51,False
2022-05-15,49,False
2022-05-22,47,False
2022-05-29,43,False
2022-06-05,41,False
2022-06-12,42,False
2022-06-19,41,False
2022-06-26,45,False
2022-07-03,44,False
2022-07-10,39,False
2022-07-17,39,False
2022-07-24,39,False
2022-07-31,39,False
2022-08-07,34,False
2022-08-14,36,False
2022-08-21,33,False
2022-08-28,32,False
2022-09-04,33,False
2022-09-11,42,False
2022-09-18,49,False
2022-09-25,46,False
2022-10-02,43,False
2022-10-09,45,False
2022-10-16,45,False
2022-10-23,45,False
2022-10-30,46,False
2022-11-06,48,False
2022-11-13,48,False
2022-11-20,50,False
2022-11-27,50,False
2022-12-04,52,False
2022-12-11,52,False
2022-12-18,55,False
2022-12-25,56,False
2023-01-01,44,False
2023-01-08,43,False
2023-01-15,38,False
2023-01-22,41,False
2023-01-29,40,False
2023-02-05,39,False
2023-02-12,42,False
2023-02-19,40,False
2023-02-26,36,False
2023-03-05,37,False
2023-03-12,40,False
2023-03-19,46,False
2023-03-26,41,False
2023-04-02,41,False
2023-04-09,38,False
2023-04-16,34,False
2023-04-23,37,False
2023-04-30,40,False
2023-05-07,44,False
2023-05-14,44,False
2023-05-21,42,False
2023-05-28,36,False
2023-06-04,31,False
2023-06-11,34,False
2023-06-18,31,False
2023-06-25,30,False
2023-07-02,31,False
2023-07-09,27,False
2023-07-16,31,False
2023-07-23,27,False
2023-07-30,29,False
2023-08-06,32,False
2023-08-13,33,False
2023-08-20,27,False
2023-08-27,31,False
2023-09-03,28,False
2023-09-10,31,False
2023-09-17,40,False
2023-09-24,39,False
2023-10-01,36,False
2023-10-08,34,False
2023-10-15,32,False
2023-10-22,35,False
2023-10-29,34,False
2023-11-05,37,False
2023-11-12,40,False
2023-11-19,38,False
2023-11-26,40,False
2023-12-03,39,False
2023-12-10,43,False
2023-12-17,47,False
2023-12-24,52,False
2023-12-31,47,False
2024-01-07,40,False
2024-01-14,35,False
2024-01-21,32,False
2024-01-28,35,False
2024-02-04,36,False
2024-02-11,38,False
2024-02-18,41,False
2024-02-25,37,False
2024-03-03,37,False
2024-03-10,37,False
2024-03-17,42,False
2024-03-24,42,False
2024-03-31,35,False
2024-04-07,35,False
2024-04-14,36,False
2024-04-21,38,False
2024-04-28,35,False
2024-05-05,35,False
2024-05-12,38,False
2024-05-19,41,False
2024-05-26,37,False
2024-06-02,31,False
2024-06-09,33,False
2024-06-16,30,False
2024-06-23,31,False
2024-06-30,27,False
2024-07-07,26,False
2024-07-14,26,False
2024-07-21,28,False
2024-07-28,28,False
2024-08-04,26,False
2024-08-11,30,False
2024-08-18,29,False
2024-08-25,28,False
2024-09-01,26,False
2024-09-08,33,False
2024-09-15,40,False
2024-09-22,39,False
2024-09-29,34,False
2024-10-06,34,False
2024-10-13,34,False
2024-10-20,35,False
2024-10-27,33,False
2024-11-03,34,False
2024-11-10,34,False
2024-11-17,34,False
2024-11-24,37,False
2024-12-01,38,False
2024-12-08,38,False
2024-12-15,43,False
2024-12-22,53,False
2024-12-29,44,False
2025-01-05,40,False
2025-01-12,39,False
2025-01-19,39,False
2025-01-26,41,False
2025-02-02,42,False
2025-02-09,35,False
2025-02-16,38,False
2025-02-23,33,False
2025-03-02,31,False
2025-03-09,35,False
2025-03-16,36,False
2025-03-23,38,False
2025-03-30,33,False
2025-04-06,37,False
2025-04-13,36,False
2025-04-20,34,False
2025-04-27,34,False
2025-05-04,31,False
2025-05-11,34,False
2025-05-18,35,False
2025-05-25,37,False
2025-06-01,33,False
2025-06-08,33,False
2025-06-15,32,False
2025-06-22,28,False
2025-06-29,27,False
2025-07-06,27,False
2025-07-13,29,False
2025-07-20,25,False
2025-07-27,26,False
2025-08-03,25,False
2025-08-10,28,False
2025-08-17,26,False
2025-08-24,28,False
2025-08-31,26,False
2025-09-07,31,False
2025-09-14,39,False
2025-09-21,36,False
2025-09-28,33,False
2025-10-05,29,False
2025-10-12,31,False
2025-10-19,31,False
2025-10-26,28,False
2025-11-02,38,False
2025-11-09,37,False
2025-11-16,40,False
2025-11-23,42,False
2025-11-30,44,False
2025-12-07,48,False
2025-12-14,54,False
2025-12-21,58,False
2025-12-28,51,False
2026-01-04,42,False
2026-01-11,37,False
2026-01-18,36,False
2026-01-25,37,False
2026-02-01,39,False
2026-02-08,39,False
2026-02-15,41,False
2026-02-22,33,False
2026-03-01,36,False
2026-03-08,39,False
2026-03-15,45,False
2026-03-22,49,False
2026-03-29,48,False
2026-04-05,48,False
2026-04-12,42,False
2026-04-19,40,False
2026-04-26,44,False
2026-05-03,46,False
2026-05-10,49,False
2026-05-17,48,False
2026-05-24,51,False
2026-05-31,48,False
2026-06-07,49,False
2026-06-14,49,False
2026-06-21,47,False
2026-06-28,36,False
2026-07-05,34,False
2026-07-12,33,False
2026-07-19,29,False
2026-07-26,28,False
2026-08-02,25,False
2026-08-09,29,False
2026-08-16,26,False
2026-08-23,29,False
2026-08-30,31,False
2026-09-06,34,False
2026-09-13,41,True
