date,flu shot,isPartial
2021-09-12,39,False
2021-09-19,56,False
2021-09-26,74,False
2021-10-03,91,False
2021-10-10,100,False
2021-10-17,78,False
2021-10-24,77,False
2021-10-31,70,False
2021-11-07,60,False
2021-11-14,59,False
2021-11-21,41,False
2021-11-28,46,False
2021-12-05,39,False
2021-12-12,39,False
2021-12-19,35,False
2021-12-26,30,False
2022-01-02,32,False
2022-01-09,22,False
2022-01-16,14,False
2022-01-23,11,False
2022-01-30,10,False
2022-02-06,8,False
2022-02-13,7,False
2022-02-20,5,False
2022-02-27,6,False
2022-03-06,5,False
2022-03-13,4,False
2022-03-20,6,False
2022-03-27,5,False
2022-04-03,5,False
2022-04-10,3,False
2022-04-17,4,False
2022-04-24,4,False
2022-05-01,4,False
2022-05-08,3,False
2022-05-15,3,False
2022-05-22,2,False
2022-05-29,3,False
2022-06-05,3,False
2022-06-12,3,False
2022-06-19,3,False
2022-06-26,2,False
2022-07-03,2,False
2022-07-10,3,False
2022-07-17,3,False
2022-07-24,3,False
2022-07-31,4,False
2022-08-07,5,False
2022-08-14,8,False
2022-08-21,10,False
2022-08-28,15,False
2022-09-04,26,False
2022-09-11,38,False
2022-09-18,52,False
2022-09-25,59,False
2022-10-02,79,False
2022-10-09,94,False
2022-10-16,87,False
2022-10-23,93,False
2022-10-30,70,False
2022-11-06,61,False
2022-11-13,56,False
2022-11-20,38,False
2022-11-27,42,False
2022-12-04,57,False
2022-12-11,45,False
2022-12-18,30,False
2022-12-25,20,False
2023-01-01,16,False
2023-01-08,13,False
2023-01-15,11,False
2023-01-22,8,False
2023-01-29,7,False
2023-02-05,7,False
2023-02-12,6,False
2023-02-19,5,False
2023-02-26,5,False
2023-03-05,4,False
2023-03-12,5,False
2023-03-19,4,False
2023-03-26,4,False
2023-04-02,4,False
2023-04-09,3,False
2023-04-16,3,False
2023-04-23,3,False
2023-04-30,2,False
2023-05-07,2,False
2023-05-14,3,False
2023-05-21,2,False
2023-05-28,3,False
2023-06-04,2,False
2023-06-11,2,False
2023-06-18,2,False
2023-06-25,2,False
2023-07-02,3,False
2023-07-09,2,False
2023-07-16,3,False
2023-07-23,3,False
2023-07-30,4,False
2023-08-06,6,False
2023-08-13,9,False
2023-08-20,9,False
2023-08-27,14,False
2023-09-03,19,False
2023-09-10,32,False
2023-09-17,44,False
2023-09-24,54,False
2023-10-01,62,False
2023-10-08,61,False
2023-10-15,55,False
2023-10-22,52,False
2023-10-29,43,False
2023-11-05,41,False
2023-11-12,33,False
2023-11-19,24,False
2023-11-26,29,False
2023-12-03,25,False
2023-12-10,25,False
2023-12-17,23,False
2023-12-24,18,False
2023-12-31,19,False
2024-01-07,14,False
2024-01-14,12,False
2024-01-21,10,False
2024-01-28,9,False
2024-02-04,8,False
2024-02-11,7,False
2024-02-18,7,False
2024-02-25,6,False
2024-03-03,6,False
2024-03-10,5,False
2024-03-17,3,False
2024-03-24,5,False
2024-03-31,3,False
2024-04-07,4,False
2024-04-14,3,False
2024-04-21,3,False
2024-04-28,4,False
2024-05-05,3,False
2024-05-12,3,False
2024-05-19,3,False
2024-05-26,3,False
2024-06-02,3,False
2024-06-09,3,False
2024-06-16,2,False
2024-06-23,2,False
2024-06-30,3,False
2024-07-07,2,False
2024-07-14,2,False
2024-07-21,3,False
2024-07-28,3,False
2024-08-04,4,False
2024-08-11,8,False
2024-08-18,10,False
2024-08-25,16,False
2024-09-01,22,False
2024-09-08,34,False
2024-09-15,39,False
2024-09-22,53,False
2024-09-29,52,False
2024-10-06,54,False
2024-10-13,58,False
2024-10-20,51,False
2024-10-27,46,False
2024-11-03,33,False
2024-11-10,32,False
2024-11-17,30,False
2024-11-24,24,False
2024-12-01,22,False
2024-12-08,21,False
2024-12-15,23,False
2024-12-22,20,False
2024-12-29,22,False
2025-01-05,25,False
2025-01-12,21,False
2025-01-19,17,False
2025-01-26,19,False
2025-02-02,19,False
2025-02-09,19,False
2025-02-16,16,False
2025-02-23,13,False
2025-03-02,8,False
2025-03-09,8,False
2025-03-16,7,False
2025-03-23,6,False
2025-03-30,5,False
2025-04-06,5,False
2025-04-13,4,False
2025-04-20,4,False
2025-04-27,4,False
2025-05-04,3,False
2025-05-11,3,False
2025-05-18,3,False
2025-05-25,3,False
2025-06-01,4,False
2025-06-08,4,False
2025-06-15,3,False
2025-06-22,6,False
2025-06-29,4,False
2025-07-06,11,False
2025-07-13,6,False
2025-07-20,5,False
2025-07-27,5,False
2025-08-03,7,False
2025-08-10,10,False
2025-08-17,12,False
2025-08-24,17,False
2025-08-31,25,False
2025-09-07,34,False
2025-09-14,39,False
2025-09-21,52,False
2025-09-28,57,False
2025-10-05,57,False
2025-10-12,62,False
2025-10-19,57,False
2025-10-26,48,False
2025-11-02,48,False
2025-11-09,42,False
2025-11-16,37,False
2025-11-23,32,False
2025-11-30,36,False
2025-12-07,36,False
2025-12-14,48,False
2025-12-21,45,False
2025-12-28,48,False
2026-01-04,41,False
2026-01-11,22,False
2026-01-18,13,False
2026-01-25,9,False
2026-02-01,9,False
2026-02-08,7,False
2026-02-15,8,False
2026-02-22,6,False
2026-03-01,6,False
2026-03-08,5,False
2026-03-15,5,False
2026-03-22,4,False
2026-03-29,5,False
2026-04-05,5,False
2026-04-12,5,False
2026-04-19,5,False
2026-04-26,4,False
2026-05-03,5,False
2026-05-10,6,False
2026-05-17,5,False
2026-05-24,4,False
2026-05-31,7,False
2026-06-07,5,False
2026-06-14,6,False
2026-06-21,4,False
2026-06-28,4,False
2026-07-05,5,False
2026-07-12,5,False
2026-07-19,5,False
2026-07-26,5,False
2026-08-02,9,False
2026-08-09,11,False
2026-08-16,13,False
2026-08-23,23,False
2026-08-30,25,False
2026-09-06,30,False
2026-09-13,41,True
