date,fever temperature,isPartial
2021-09-12,48,False
2021-09-19,43,False
2021-09-26,41,False
2021-10-03,40,False
2021-10-10,40,False
2021-10-17,35,False
2021-10-24,36,False
2021-10-31,39,False
2021-11-07,40,False
2021-11-14,39,False
2021-11-21,39,False
2021-11-28,44,False
2021-12-05,44,False
2021-12-12,52,False
2021-12-19,75,False
2021-12-26,98,False
2022-01-02,100,False
2022-01-09,86,False
2022-01-16,67,False
2022-01-23,53,False
2022-01-30,42,False
2022-02-06,33,False
2022-02-13,32,False
2022-02-20,28,False
2022-02-27,31,False
2022-03-06,29,False
2022-03-13,33,False
2022-03-20,31,False
2022-03-27,31,False
2022-04-03,33,False
2022-04-10,33,False
2022-04-17,35,False
2022-04-24,36,False
2022-05-01,39,False
2022-05-08,42,False
2022-05-15,45,False
2022-05-22,45,False
2022-05-29,45,False
2022-06-05,39,False
2022-06-12,40,False
2022-06-19,41,False
2022-06-26,41,False
2022-07-03,42,False
2022-07-10,42,False
2022-07-17,45,False
2022-07-24,43,False
2022-07-31,38,False
2022-08-07,38,False
2022-08-14,37,False
2022-08-21,39,False
2022-08-28,40,False
2022-09-04,37,False
2022-09-11,36,False
2022-09-18,40,False
2022-09-25,36,False
2022-10-02,37,False
2022-10-09,38,False
2022-10-16,42,False
2022-10-23,47,False
2022-10-30,51,False
2022-11-06,52,False
2022-11-13,54,False
2022-11-20,57,False
2022-11-27,59,False
2022-12-04,62,False
2022-12-11,58,False
2022-12-18,55,False
2022-12-25,48,False
2023-01-01,38,False
2023-01-08,32,False
2023-01-15,34,False
2023-01-22,34,False
2023-01-29,36,False
2023-02-05,35,False
2023-02-12,36,False
2023-02-19,34,False
2023-02-26,33,False
2023-03-05,33,False
2023-03-12,30,False
2023-03-19,31,False
2023-03-26,31,False
2023-04-02,29,False
2023-04-09,29,False
2023-04-16,28,False
2023-04-23,26,False
2023-04-30,27,False
2023-05-07,28,False
2023-05-14,29,False
2023-05-21,26,False
2023-05-28,26,False
2023-06-04,24,False
2023-06-11,24,False
2023-06-18,23,False
2023-06-25,25,False
2023-07-02,22,False
2023-07-09,23,False
2023-07-16,22,False
2023-07-23,23,False
2023-07-30,22,False
2023-08-06,25,False
2023-08-13,27,False
2023-08-20,28,False
2023-08-27,31,False
2023-09-03,30,False
2023-09-10,32,False
2023-09-17,31,False
2023-09-24,33,False
2023-10-01,29,False
2023-10-08,30,False
2023-10-15,30,False
2023-10-22,33,False
2023-10-29,34,False
2023-11-05,33,False
2023-11-12,37,False
2023-11-19,33,False
2023-11-26,38,False
2023-12-03,40,False
2023-12-10,45,False
2023-12-17,55,False
2023-12-24,48,False
2023-12-31,44,False
2024-01-07,40,False
2024-01-14,38,False
2024-01-21,40,False
2024-01-28,38,False
2024-02-04,41,False
2024-02-11,38,False
2024-02-18,37,False
2024-02-25,37,False
2024-03-03,33,False
2024-03-10,30,False
2024-03-17,29,False
2024-03-24,26,False
2024-03-31,26,False
2024-04-07,28,False
2024-04-14,26,False
2024-04-21,26,False
2024-04-28,26,False
2024-05-05,22,False
2024-05-12,25,False
2024-05-19,26,False
2024-05-26,23,False
2024-06-02,23,False
2024-06-09,21,False
2024-06-16,22,False
2024-06-23,22,False
2024-06-30,24,False
2024-07-07,22,False
2024-07-14,26,False
2024-07-21,27,False
2024-07-28,26,False
2024-08-04,25,False
2024-08-11,24,False
2024-08-18,29,False
2024-08-25,29,False
2024-09-01,30,False
2024-09-08,31,False
2024-09-15,28,False
2024-09-22,27,False
2024-09-29,27,False
2024-10-06,27,False
2024-10-13,26,False
2024-10-20,28,False
2024-10-27,27,False
2024-11-03,26,False
2024-11-10,27,False
2024-11-17,29,False
2024-11-24,27,False
2024-12-01,32,False
2024-12-08,33,False
2024-12-15,42,False
2024-12-22,43,False
2024-12-29,44,False
2025-01-05,40,False
2025-01-12,42,False
2025-01-19,49,False
2025-01-26,58,False
2025-02-02,55,False
2025-02-09,48,False
2025-02-16,42,False
2025-02-23,40,False
2025-03-02,32,False
2025-03-09,33,False
2025-03-16,30,False
2025-03-23,28,False
2025-03-30,27,False
2025-04-06,26,False
2025-04-13,26,False
2025-04-20,25,False
2025-04-27,24,False
2025-05-04,24,False
2025-05-11,25,False
2025-05-18,22,False
2025-05-25,20,False
2025-06-01,20,False
2025-06-08,19,False
2025-06-15,19,False
2025-06-22,19,False
2025-06-29,18,False
2025-07-06,18,False
2025-07-13,20,False
2025-07-20,20,False
2025-07-27,21,False
2025-08-03,22,False
2025-08-10,21,False
2025-08-17,23,False
2025-08-24,26,False
2025-08-31,26,False
2025-09-07,24,False
2025-09-14,26,False
2025-09-21,26,False
2025-09-28,25,False
2025-10-05,24,False
2025-10-12,25,False
2025-10-19,22,False
2025-10-26,23,False
2025-11-02,29,False
2025-11-09,28,False
2025-11-16,29,False
2025-11-23,26,False
2025-11-30,31,False
2025-12-07,35,False
2025-12-14,46,False
2025-12-21,48,False
2025-12-28,44,False
2026-01-04,39,False
2026-01-11,35,False
2026-01-18,36,False
2026-01-25,35,False
2026-02-01,38,False
2026-02-08,37,False
2026-02-15,38,False
2026-02-22,38,False
2026-03-01,37,False
2026-03-08,38,False
2026-03-15,38,False
2026-03-22,35,False
2026-03-29,33,False
2026-04-05,34,False
2026-04-12,30,False
2026-04-19,37,False
2026-04-26,33,False
2026-05-03,32,False
2026-05-10,32,False
2026-05-17,36,False
2026-05-24,44,False
2026-05-31,49,False
2026-06-07,50,False
2026-06-14,42,False
2026-06-21,38,False
2026-06-28,29,False
2026-07-05,28,False
2026-07-12,25,False
2026-07-19,20,False
2026-07-26,18,False
2026-08-02,19,False
2026-08-09,21,False
2026-08-16,20,False
2026-08-23,20,False
2026-08-30,22,False
2026-09-06,22,False
2026-09-13,24,True
