date,cough,isPartial
2021-09-12,43,False
2021-09-19,45,False
2021-09-26,46,False
2021-10-03,51,False
2021-10-10,55,False
2021-10-17,51,False
2021-10-24,47,False
2021-10-31,53,False
2021-11-07,59,False
2021-11-14,54,False
2021-11-21,54,False
2021-11-28,52,False
2021-12-05,57,False
2021-12-12,62,False
2021-12-19,76,False
2021-12-26,90,False
2022-01-02,93,False
2022-01-09,72,False
2022-01-16,51,False
2022-01-23,42,False
2022-01-30,38,False
2022-02-06,36,False
2022-02-13,32,False
2022-02-20,36,False
2022-02-27,35,False
2022-03-06,40,False
2022-03-13,44,False
2022-03-20,50,False
2022-03-27,52,False
2022-04-03,56,False
2022-04-10,60,False
2022-04-17,56,False
2022-04-24,56,False
2022-05-01,57,False
2022-05-08,62,False
2022-05-15,64,False
2022-05-22,71,False
2022-05-29,59,False
2022-06-05,54,False
2022-06-12,53,False
2022-06-19,51,False
2022-06-26,53,False
2022-07-03,51,False
2022-07-10,50,False
2022-07-17,46,False
2022-07-24,45,False
2022-07-31,42,False
2022-08-07,42,False
2022-08-14,41,False
2022-08-21,41,False
2022-08-28,38,False
2022-09-04,40,False
2022-09-11,45,False
2022-09-18,61,False
2022-09-25,60,False
2022-10-02,59,False
2022-10-09,70,False
2022-10-16,63,False
2022-10-23,71,False
2022-10-30,71,False
2022-11-06,77,False
2022-11-13,80,False
2022-11-20,79,False
2022-11-27,79,False
2022-12-04,77,False
2022-12-11,81,False
2022-12-18,80,False
2022-12-25,82,False
2023-01-01,66,False
2023-01-08,60,False
2023-01-15,52,False
2023-01-22,52,False
2023-01-29,53,False
2023-02-05,54,False
2023-02-12,52,False
2023-02-19,56,False
2023-02-26,51,False
2023-03-05,50,False
2023-03-12,47,False
2023-03-19,56,False
2023-03-26,51,False
2023-04-02,52,False
2023-04-09,48,False
2023-04-16,43,False
2023-04-23,46,False
2023-04-30,47,False
2023-05-07,50,False
2023-05-14,50,False
2023-05-21,45,False
2023-05-28,46,False
2023-06-04,41,False
2023-06-11,41,False
2023-06-18,39,False
2023-06-25,36,False
2023-07-02,36,False
2023-07-09,34,False
2023-07-16,32,False
2023-07-23,34,False
2023-07-30,35,False
2023-08-06,37,False
2023-08-13,38,False
2023-08-20,36,False
2023-08-27,40,False
2023-09-03,40,False
2023-09-10,43,False
2023-09-17,50,False
2023-09-24,54,False
2023-10-01,56,False
2023-10-08,58,False
2023-10-15,59,False
2023-10-22,59,False
2023-10-29,59,False
2023-11-05,67,False
2023-11-12,75,False
2023-11-19,70,False
2023-11-26,69,False
2023-12-03,68,False
2023-12-10,79,False
2023-12-17,75,False
2023-12-24,85,False
2023-12-31,83,False
2024-01-07,66,False
2024-01-14,60,False
2024-01-21,57,False
2024-01-28,57,False
2024-02-04,58,False
2024-02-11,56,False
2024-02-18,61,False
2024-02-25,56,False
2024-03-03,52,False
2024-03-10,47,False
2024-03-17,50,False
2024-03-24,53,False
2024-03-31,47,False
2024-04-07,50,False
2024-04-14,48,False
2024-04-21,50,False
2024-04-28,44,False
2024-05-05,46,False
2024-05-12,47,False
2024-05-19,48,False
2024-05-26,45,False
2024-06-02,41,False
2024-06-09,39,False
2024-06-16,40,False
2024-06-23,39,False
2024-06-30,36,False
2024-07-07,36,False
2024-07-14,33,False
2024-07-21,38,False
2024-07-28,37,False
2024-08-04,36,False
2024-08-11,39,False
2024-08-18,39,False
2024-08-25,39,False
2024-09-01,42,False
2024-09-08,44,False
2024-09-15,52,False
2024-09-22,58,False
2024-09-29,56,False
2024-10-06,56,False
2024-10-13,62,False
2024-10-20,65,False
2024-10-27,61,False
2024-11-03,59,False
2024-11-10,66,False
2024-11-17,66,False
2024-11-24,64,False
2024-12-01,61,False
2024-12-08,70,False
2024-12-15,78,False
2024-12-22,90,False
2024-12-29,83,False
2025-01-05,73,False
2025-01-12,73,False
2025-01-19,71,False
2025-01-26,73,False
2025-02-02,76,False
2025-02-09,65,False
2025-02-16,66,False
2025-02-23,56,False
2025-03-02,48,False
2025-03-09,54,False
2025-03-16,50,False
2025-03-23,51,False
2025-03-30,46,False
2025-04-06,47,False
2025-04-13,51,False
2025-04-20,47,False
2025-04-27,47,False
2025-05-04,44,False
2025-05-11,44,False
2025-05-18,44,False
2025-05-25,48,False
2025-06-01,44,False
2025-06-08,39,False
2025-06-15,38,False
2025-06-22,38,False
2025-06-29,35,False
2025-07-06,37,False
2025-07-13,36,False
2025-07-20,38,False
2025-07-27,36,False
2025-08-03,32,False
2025-08-10,37,False
2025-08-17,37,False
2025-08-24,38,False
2025-08-31,35,False
2025-09-07,39,False
2025-09-14,47,False
2025-09-21,47,False
2025-09-28,47,False
2025-10-05,48,False
2025-10-12,48,False
2025-10-19,49,False
2025-10-26,47,False
2025-11-02,56,False
2025-11-09,67,False
2025-11-16,62,False
2025-11-23,68,False
2025-11-30,72,False
2025-12-07,78,False
2025-12-14,87,False
2025-12-21,100,False
2025-12-28,99,False
2026-01-04,69,False
2026-01-11,61,False
2026-01-18,60,False
2026-01-25,56,False
2026-02-01,58,False
2026-02-08,55,False
2026-02-15,61,False
2026-02-22,53,False
2026-03-01,58,False
2026-03-08,59,False
2026-03-15,69,False
2026-03-22,63,False
2026-03-29,69,False
2026-04-05,66,False
2026-04-12,66,False
2026-04-19,60,False
2026-04-26,60,False
2026-05-03,60,False
2026-05-10,67,False
2026-05-17,70,False
2026-05-24,70,False
2026-05-31,61,False
2026-06-07,63,False
2026-06-14,66,False
2026-06-21,57,False
2026-06-28,46,False
2026-07-05,42,False
2026-07-12,44,False
2026-07-19,39,False
2026-07-26,36,False
2026-08-02,36,False
2026-08-09,39,False
2026-08-16,35,False
2026-08-23,32,False
2026-08-30,35,False
2026-09-06,39,False
2026-09-13,45,True
