date,covid,isPartial
2021-09-12,43,False
2021-09-19,37,False
2021-09-26,34,False
2021-10-03,30,False
2021-10-10,28,False
2021-10-17,26,False
2021-10-24,27,False
2021-10-31,29,False
2021-11-07,30,False
2021-11-14,32,False
2021-11-21,31,False
2021-11-28,38,False
2021-12-05,33,False
2021-12-12,44,False
2021-12-19,76,False
2021-12-26,97,False
2022-01-02,100,False
2022-01-09,79,False
2022-01-16,77,False
2022-01-23,41,False
2022-01-30,31,False
2022-02-06,26,False
2022-02-13,21,False
2022-02-20,18,False
2022-02-27,17,False
2022-03-06,15,False
2022-03-13,16,False
2022-03-20,15,False
2022-03-27,14,False
2022-04-03,15,False
2022-04-10,16,False
2022-04-17,15,False
2022-04-24,15,False
2022-05-01,16,False
2022-05-08,19,False
2022-05-15,22,False
2022-05-22,20,False
2022-05-29,19,False
2022-06-05,18,False
2022-06-12,17,False
2022-06-19,17,False
2022-06-26,18,False
2022-07-03,19,False
2022-07-10,21,False
2022-07-17,21,False
2022-07-24,19,False
2022-07-31,17,False
2022-08-07,16,False
2022-08-14,15,False
2022-08-21,13,False
2022-08-28,14,False
2022-09-04,13,False
2022-09-11,13,False
2022-09-18,12,False
2022-09-25,10,False
2022-10-02,10,False
2022-10-09,10,False
2022-10-16,10,False
2022-10-23,9,False
2022-10-30,9,False
2022-11-06,8,False
2022-11-13,9,False
2022-11-20,9,False
2022-11-27,11,False
2022-12-04,10,False
2022-12-11,12,False
2022-12-18,12,False
2022-12-25,12,False
2023-01-01,11,False
2023-01-08,9,False
2023-01-15,8,False
2023-01-22,7,False
2023-01-29,7,False
2023-02-05,7,False
2023-02-12,6,False
2023-02-19,6,False
2023-02-26,6,False
2023-03-05,5,False
2023-03-12,5,False
2023-03-19,5,False
2023-03-26,5,False
2023-04-02,5,False
2023-04-09,4,False
2023-04-16,5,False
2023-04-23,4,False
2023-04-30,4,False
2023-05-07,4,False
2023-05-14,3,False
2023-05-21,4,False
2023-05-28,3,False
2023-06-04,3,False
2023-06-11,3,False
2023-06-18,3,False
2023-06-25,3,False
2023-07-02,3,False
2023-07-09,3,False
2023-07-16,3,False
2023-07-23,4,False
2023-07-30,5,False
2023-08-06,5,False
2023-08-13,6,False
2023-08-20,9,False
2023-08-27,9,False
2023-09-03,9,False
2023-09-10,8,False
2023-09-17,9,False
2023-09-24,9,False
2023-10-01,7,False
2023-10-08,6,False
2023-10-15,6,False
2023-10-22,5,False
2023-10-29,5,False
