date,tamiflu,isPartial
2021-09-12,0,False
2021-09-19,1,False
2021-09-26,2,False
2021-10-03,1,False
2021-10-10,1,False
2021-10-17,1,False
2021-10-24,1,False
2021-10-31,4,False
2021-11-07,2,False
2021-11-14,3,False
2021-11-21,4,False
2021-11-28,6,False
2021-12-05,5,False
2021-12-12,10,False
2021-12-19,10,False
2021-12-26,7,False
2022-01-02,5,False
2022-01-09,4,False
2022-01-16,2,False
2022-01-23,1,False
2022-01-30,2,False
2022-02-06,1,False
2022-02-13,2,False
2022-02-20,2,False
2022-02-27,2,False
2022-03-06,1,False
2022-03-13,3,False
2022-03-20,4,False
2022-03-27,5,False
2022-04-03,8,False
2022-04-10,9,False
2022-04-17,6,False
2022-04-24,6,False
2022-05-01,8,False
2022-05-08,6,False
2022-05-15,5,False
2022-05-22,4,False
2022-05-29,3,False
2022-06-05,3,False
2022-06-12,1,False
2022-06-19,2,False
2022-06-26,2,False
2022-07-03,1,False
2022-07-10,0,False
2022-07-17,2,False
2022-07-24,1,False
2022-07-31,0,False
2022-08-07,0,False
2022-08-14,1,False
2022-08-21,0,False
2022-08-28,1,False
2022-09-04,1,False
2022-09-11,1,False
2022-09-18,1,False
2022-09-25,2,False
2022-10-02,2,False
2022-10-09,2,False
2022-10-16,3,False
2022-10-23,5,False
2022-10-30,7,False
2022-11-06,10,False
2022-11-13,14,False
2022-11-20,24,False
2022-11-27,29,False
2022-12-04,38,False
2022-12-11,35,False
2022-12-18,33,False
2022-12-25,24,False
2023-01-01,13,False
2023-01-08,9,False
2023-01-15,5,False
2023-01-22,4,False
2023-01-29,3,False
2023-02-05,3,False
2023-02-12,2,False
2023-02-19,3,False
2023-02-26,2,False
2023-03-05,3,False
2023-03-12,3,False
2023-03-19,2,False
2023-03-26,2,False
2023-04-02,2,False
2023-04-09,3,False
2023-04-16,1,False
2023-04-23,2,False
2023-04-30,2,False
2023-05-07,2,False
2023-05-14,1,False
2023-05-21,1,False
2023-05-28,2,False
2023-06-04,1,False
2023-06-11,0,False
2023-06-18,2,False
2023-06-25,1,False
2023-07-02,1,False
2023-07-09,0,False
2023-07-16,0,False
2023-07-23,0,False
2023-07-30,1,False
2023-08-06,1,False
2023-08-13,1,False
2023-08-20,1,False
2023-08-27,1,False
2023-09-03,1,False
2023-09-10,0,False
2023-09-17,2,False
2023-09-24,2,False
2023-10-01,2,False
2023-10-08,2,False
2023-10-15,2,False
2023-10-22,1,False
2023-10-29,2,False
2023-11-05,3,False
2023-11-12,3,False
2023-11-19,4,False
2023-11-26,5,False
2023-12-03,8,False
2023-12-10,13,False
2023-12-17,22,False
2023-12-24,23,False
2023-12-31,19,False
2024-01-07,14,False
2024-01-14,14,False
2024-01-21,13,False
2024-01-28,14,False
2024-02-04,15,False
2024-02-11,15,False
2024-02-18,13,False
2024-02-25,12,False
2024-03-03,12,False
2024-03-10,10,False
2024-03-17,7,False
2024-03-24,8,False
2024-03-31,7,False
2024-04-07,6,False
2024-04-14,4,False
2024-04-21,3,False
2024-04-28,2,False
2024-05-05,2,False
2024-05-12,2,False
2024-05-19,3,False
2024-05-26,2,False
2024-06-02,2,False
2024-06-09,2,False
2024-06-16,1,False
2024-06-23,1,False
2024-06-30,1,False
2024-07-07,0,False
2024-07-14,0,False
2024-07-21,1,False
2024-07-28,2,False
2024-08-04,1,False
2024-08-11,0,False
2024-08-18,0,False
2024-08-25,0,False
2024-09-01,0,False
2024-09-08,1,False
2024-09-15,0,False
2024-09-22,2,False
2024-09-29,2,False
2024-10-06,2,False
2024-10-13,3,False
2024-10-20,3,False
2024-10-27,2,False
2024-11-03,1,False
2024-11-10,1,False
2024-11-17,3,False
2024-11-24,3,False
2024-12-01,4,False
2024-12-08,7,False
2024-12-15,13,False
2024-12-22,24,False
2024-12-29,25,False
2025-01-05,25,False
2025-01-12,39,False
2025-01-19,44,False
2025-01-26,48,False
2025-02-02,40,False
2025-02-09,45,False
2025-02-16,35,False
2025-02-23,22,False
2025-03-02,16,False
2025-03-09,17,False
2025-03-16,12,False
2025-03-23,10,False
2025-03-30,7,False
2025-04-06,6,False
2025-04-13,5,False
2025-04-20,4,False
2025-04-27,2,False
2025-05-04,3,False
2025-05-11,3,False
2025-05-18,2,False
2025-05-25,2,False
2025-06-01,2,False
2025-06-08,0,False
2025-06-15,0,False
2025-06-22,0,False
2025-06-29,0,False
2025-07-06,1,False
2025-07-13,1,False
2025-07-20,0,False
