date,how long does flu last,isPartial
2021-09-12,10,False
2021-09-19,11,False
2021-09-26,12,False
2021-10-03,12,False
2021-10-10,11,False
2021-10-17,10,False
2021-10-24,11,False
2021-10-31,13,False
2021-11-07,14,False
2021-11-14,18,False
2021-11-21,17,False
2021-11-28,22,False
2021-12-05,21,False
2021-12-12,27,False
2021-12-19,34,False
2021-12-26,38,False
2022-01-02,34,False
2022-01-09,25,False
2022-01-16,18,False
2022-01-23,14,False
2022-01-30,13,False
2022-02-06,12,False
2022-02-13,14,False
2022-02-20,14,False
2022-02-27,16,False
2022-03-06,17,False
2022-03-13,18,False
2022-03-20,19,False
2022-03-27,19,False
2022-04-03,20,False
2022-04-10,21,False
2022-04-17,20,False
2022-04-24,16,False
2022-05-01,16,False
2022-05-08,18,False
2022-05-15,18,False
2022-05-22,15,False
2022-05-29,14,False
2022-06-05,13,False
2022-06-12,12,False
2022-06-19,11,False
2022-06-26,10,False
2022-07-03,9,False
2022-07-10,8,False
2022-07-17,8,False
2022-07-24,7,False
2022-07-31,8,False
2022-08-07,7,False
2022-08-14,8,False
2022-08-21,8,False
2022-08-28,9,False
2022-09-04,11,False
2022-09-11,12,False
2022-09-18,14,False
2022-09-25,16,False
2022-10-02,17,False
2022-10-09,23,False
2022-10-16,27,False
2022-10-23,41,False
2022-10-30,54,False
2022-11-06,54,False
2022-11-13,57,False
2022-11-20,75,False
2022-11-27,77,False
2022-12-04,70,False
2022-12-11,70,False
2022-12-18,73,False
2022-12-25,56,False
2023-01-01,39,False
2023-01-08,24,False
2023-01-15,22,False
2023-01-22,18,False
2023-01-29,18,False
2023-02-05,18,False
2023-02-12,18,False
2023-02-19,17,False
2023-02-26,16,False
2023-03-05,16,False
2023-03-12,16,False
2023-03-19,17,False
2023-03-26,12,False
2023-04-02,12,False
2023-04-09,11,False
2023-04-16,9,False
2023-04-23,10,False
2023-04-30,10,False
2023-05-07,9,False
2023-05-14,10,False
2023-05-21,9,False
2023-05-28,10,False
2023-06-04,7,False
2023-06-11,8,False
2023-06-18,7,False
2023-06-25,7,False
2023-07-02,7,False
2023-07-09,6,False
2023-07-16,5,False
2023-07-23,6,False
2023-07-30,6,False
2023-08-06,7,False
2023-08-13,7,False
2023-08-20,8,False
2023-08-27,10,False
2023-09-03,11,False
2023-09-10,12,False
2023-09-17,13,False
2023-09-24,14,False
2023-10-01,13,False
2023-10-08,13,False
2023-10-15,16,False
2023-10-22,15,False
2023-10-29,17,False
2023-11-05,19,False
2023-11-12,23,False
2023-11-19,25,False
2023-11-26,26,False
2023-12-03,29,False
2023-12-10,39,False
2023-12-17,62,False
2023-12-24,66,False
