date,toddler fever,isPartial
2021-09-12,59,False
2021-09-19,60,False
2021-09-26,54,False
2021-10-03,59,False
2021-10-10,63,False
2021-10-17,62,False
2021-10-24,59,False
2021-10-31,56,False
2021-11-07,67,False
2021-11-14,65,False
2021-11-21,68,False
2021-11-28,63,False
2021-12-05,66,False
2021-12-12,69,False
2021-12-19,79,False
2021-12-26,88,False
2022-01-02,77,False
2022-01-09,69,False
2022-01-16,62,False
2022-01-23,50,False
2022-01-30,50,False
2022-02-06,53,False
2022-02-13,52,False
2022-02-20,51,False
2022-02-27,54,False
2022-03-06,53,False
2022-03-13,57,False
2022-03-20,56,False
2022-03-27,55,False
2022-04-03,59,False
2022-04-10,59,False
2022-04-17,58,False
2022-04-24,61,False
2022-05-01,60,False
2022-05-08,70,False
2022-05-15,74,False
2022-05-22,75,False
2022-05-29,78,False
2022-06-05,71,False
2022-06-12,71,False
2022-06-19,73,False
2022-06-26,66,False
2022-07-03,72,False
2022-07-10,66,False
2022-07-17,64,False
2022-07-24,64,False
2022-07-31,59,False
2022-08-07,61,False
2022-08-14,60,False
2022-08-21,57,False
2022-08-28,56,False
2022-09-04,57,False
2022-09-11,59,False
2022-09-18,59,False
2022-09-25,59,False
2022-10-02,67,False
2022-10-09,70,False
2022-10-16,72,False
2022-10-23,79,False
2022-10-30,85,False
2022-11-06,86,False
2022-11-13,86,False
2022-11-20,99,False
2022-11-27,86,False
2022-12-04,90,False
2022-12-11,92,False
2022-12-18,89,False
2022-12-25,85,False
2023-01-01,58,False
2023-01-08,55,False
2023-01-15,60,False
2023-01-22,55,False
2023-01-29,59,False
2023-02-05,65,False
2023-02-12,59,False
2023-02-19,67,False
2023-02-26,60,False
2023-03-05,64,False
2023-03-12,61,False
2023-03-19,62,False
2023-03-26,64,False
2023-04-02,61,False
2023-04-09,63,False
2023-04-16,58,False
2023-04-23,57,False
2023-04-30,55,False
2023-05-07,56,False
2023-05-14,59,False
2023-05-21,57,False
2023-05-28,58,False
2023-06-04,54,False
2023-06-11,53,False
2023-06-18,52,False
2023-06-25,53,False
2023-07-02,47,False
2023-07-09,45,False
2023-07-16,52,False
2023-07-23,46,False
2023-07-30,45,False
2023-08-06,44,False
2023-08-13,42,False
2023-08-20,44,False
2023-08-27,42,False
2023-09-03,44,False
2023-09-10,43,False
2023-09-17,47,False
2023-09-24,47,False
2023-10-01,47,False
2023-10-08,50,False
2023-10-15,49,False
2023-10-22,55,False
2023-10-29,54,False
2023-11-05,63,False
2023-11-12,60,False
2023-11-19,66,False
2023-11-26,61,False
2023-12-03,60,False
2023-12-10,71,False
2023-12-17,89,False
2023-12-24,88,False
2023-12-31,66,False
2024-01-07,59,False
2024-01-14,60,False
2024-01-21,65,False
2024-01-28,60,False
2024-02-04,62,False
2024-02-11,58,False
2024-02-18,62,False
2024-02-25,60,False
2024-03-03,54,False
2024-03-10,61,False
2024-03-17,59,False
2024-03-24,58,False
2024-03-31,54,False
2024-04-07,58,False
2024-04-14,54,False
2024-04-21,53,False
2024-04-28,53,False
2024-05-05,52,False
2024-05-12,52,False
2024-05-19,52,False
2024-05-26,50,False
2024-06-02,50,False
2024-06-09,49,False
2024-06-16,48,False
2024-06-23,49,False
2024-06-30,47,False
2024-07-07,45,False
2024-07-14,44,False
2024-07-21,43,False
2024-07-28,41,False
2024-08-04,40,False
2024-08-11,41,False
2024-08-18,37,False
2024-08-25,37,False
2024-09-01,44,False
2024-09-08,39,False
2024-09-15,42,False
2024-09-22,41,False
2024-09-29,44,False
2024-10-06,42,False
2024-10-13,44,False
2024-10-20,44,False
2024-10-27,45,False
2024-11-03,45,False
2024-11-10,47,False
2024-11-17,52,False
2024-11-24,60,False
2024-12-01,56,False
2024-12-08,61,False
2024-12-15,73,False
2024-12-22,100,False
2024-12-29,80,False
2025-01-05,63,False
2025-01-12,75,False
2025-01-19,79,False
2025-01-26,86,False
2025-02-02,83,False
2025-02-09,70,False
2025-02-16,70,False
2025-02-23,65,False
2025-03-02,60,False
2025-03-09,57,False
2025-03-16,53,False
2025-03-23,56,False
2025-03-30,50,False
2025-04-06,48,False
2025-04-13,52,False
2025-04-20,52,False
2025-04-27,48,False
2025-05-04,48,False
2025-05-11,50,False
2025-05-18,48,False
2025-05-25,48,False
2025-06-01,47,False
2025-06-08,45,False
2025-06-15,44,False
2025-06-22,46,False
2025-06-29,46,False
2025-07-06,37,False
2025-07-13,41,False
2025-07-20,41,False
2025-07-27,37,False
2025-08-03,36,False
2025-08-10,37,False
2025-08-17,38,False
2025-08-24,41,False
2025-08-31,37,False
2025-09-07,38,False
2025-09-14,38,False
2025-09-21,41,False
2025-09-28,38,False
2025-10-05,41,False
2025-10-12,36,False
2025-10-19,41,False
2025-10-26,41,False
2025-11-02,42,False
2025-11-09,45,False
2025-11-16,49,False
2025-11-23,51,False
2025-11-30,45,False
2025-12-07,55,False
2025-12-14,68,False
2025-12-21,86,False
2025-12-28,71,False
2026-01-04,52,False
2026-01-11,59,False
2026-01-18,59,False
2026-01-25,59,False
2026-02-01,49,False
2026-02-08,55,False
2026-02-15,54,False
2026-02-22,53,False
2026-03-01,55,False
2026-03-08,53,False
2026-03-15,51,False
2026-03-22,49,False
2026-03-29,45,False
2026-04-05,44,False
2026-04-12,47,False
2026-04-19,46,False
2026-04-26,42,False
2026-05-03,41,False
2026-05-10,43,False
2026-05-17,46,False
2026-05-24,49,False
2026-05-31,46,False
2026-06-07,50,False
2026-06-14,42,False
2026-06-21,42,False
2026-06-28,40,False
2026-07-05,38,False
2026-07-12,35,False
2026-07-19,30,False
2026-07-26,32,False
2026-08-02,34,False
2026-08-09,33,False
2026-08-16,32,False
2026-08-23,30,False
2026-08-30,32,False
2026-09-06,34,False
2026-09-13,36,True
