date,flu,isPartial
2021-09-12,18,False
2021-09-19,22,False
2021-09-26,23,False
2021-10-03,26,False
2021-10-10,29,False
2021-10-17,25,False
2021-10-24,23,False
2021-10-31,23,False
2021-11-07,23,False
2021-11-14,23,False
2021-11-21,20,False
2021-11-28,22,False
2021-12-05,23,False
2021-12-12,27,False
2021-12-19,31,False
2021-12-26,33,False
2022-01-02,32,False
2022-01-09,21,False
2022-01-16,13,False
2022-01-23,11,False
2022-01-30,9,False
2022-02-06,9,False
2022-02-13,9,False
2022-02-20,11,False
2022-02-27,9,False
2022-03-06,9,False
2022-03-13,10,False
2022-03-20,12,False
2022-03-27,14,False
2022-04-03,17,False
2022-04-10,17,False
2022-04-17,15,False
2022-04-24,15,False
2022-05-01,14,False
2022-05-08,14,False
2022-05-15,12,False
2022-05-22,9,False
2022-05-29,8,False
2022-06-05,8,False
2022-06-12,7,False
2022-06-19,7,False
2022-06-26,6,False
2022-07-03,9,False
2022-07-10,6,False
2022-07-17,5,False
2022-07-24,6,False
2022-07-31,5,False
2022-08-07,6,False
2022-08-14,6,False
2022-08-21,8,False
2022-08-28,9,False
2022-09-04,11,False
2022-09-11,16,False
2022-09-18,19,False
2022-09-25,20,False
2022-10-02,24,False
2022-10-09,27,False
2022-10-16,28,False
2022-10-23,29,False
2022-10-30,29,False
2022-11-06,29,False
2022-11-13,31,False
2022-11-20,34,False
2022-11-27,45,False
2022-12-04,55,False
2022-12-11,58,False
2022-12-18,50,False
2022-12-25,36,False
2023-01-01,23,False
2023-01-08,22,False
2023-01-15,16,False
2023-01-22,13,False
2023-01-29,13,False
2023-02-05,13,False
2023-02-12,13,False
2023-02-19,13,False
2023-02-26,12,False
2023-03-05,10,False
2023-03-12,10,False
2023-03-19,11,False
2023-03-26,10,False
2023-04-02,9,False
2023-04-09,8,False
2023-04-16,7,False
2023-04-23,7,False
2023-04-30,7,False
2023-05-07,7,False
2023-05-14,7,False
2023-05-21,6,False
2023-05-28,6,False
2023-06-04,5,False
2023-06-11,5,False
2023-06-18,5,False
2023-06-25,5,False
2023-07-02,5,False
2023-07-09,5,False
2023-07-16,5,False
2023-07-23,5,False
2023-07-30,5,False
2023-08-06,6,False
2023-08-13,6,False
2023-08-20,7,False
2023-08-27,8,False
2023-09-03,10,False
2023-09-10,14,False
2023-09-17,21,False
2023-09-24,21,False
2023-10-01,22,False
2023-10-08,22,False
2023-10-15,20,False
2023-10-22,18,False
2023-10-29,18,False
2023-11-05,18,False
