date,how long does flu last,isPartial
2021-09-12,0,False
2021-09-19,7,False
2021-09-26,11,False
2021-10-03,9,False
2021-10-10,8,False
2021-10-17,6,False
2021-10-24,7,False
2021-10-31,7,False
2021-11-07,8,False
2021-11-14,15,False
2021-11-21,8,False
2021-11-28,14,False
2021-12-05,17,False
2021-12-12,21,False
2021-12-19,18,False
2021-12-26,23,False
2022-01-02,21,False
2022-01-09,12,False
2022-01-16,6,False
2022-01-23,7,False
2022-01-30,6,False
2022-02-06,0,False
2022-02-13,5,False
2022-02-20,5,False
2022-02-27,5,False
2022-03-06,0,False
2022-03-13,9,False
2022-03-20,12,False
2022-03-27,17,False
2022-04-03,18,False
2022-04-10,24,False
2022-04-17,15,False
2022-04-24,11,False
2022-05-01,13,False
2022-05-08,14,False
2022-05-15,13,False
2022-05-22,9,False
2022-05-29,8,False
2022-06-05,7,False
2022-06-12,7,False
2022-06-19,4,False
2022-06-26,0,False
2022-07-03,0,False
2022-07-10,5,False
2022-07-17,4,False
2022-07-24,0,False
2022-07-31,0,False
2022-08-07,0,False
2022-08-14,6,False
2022-08-21,5,False
2022-08-28,0,False
2022-09-04,5,False
2022-09-11,11,False
2022-09-18,9,False
2022-09-25,8,False
2022-10-02,11,False
2022-10-09,9,False
2022-10-16,15,False
2022-10-23,14,False
2022-10-30,21,False
2022-11-06,20,False
2022-11-13,28,False
2022-11-20,37,False
2022-11-27,53,False
2022-12-04,60,False
2022-12-11,63,False
2022-12-18,63,False
2022-12-25,52,False
2023-01-01,31,False
2023-01-08,15,False
2023-01-15,15,False
2023-01-22,13,False
2023-01-29,12,False
2023-02-05,13,False
2023-02-12,10,False
2023-02-19,11,False
2023-02-26,12,False
2023-03-05,13,False
2023-03-12,10,False
2023-03-19,14,False
2023-03-26,8,False
2023-04-02,10,False
2023-04-09,9,False
2023-04-16,0,False
2023-04-23,0,False
2023-04-30,7,False
2023-05-07,6,False
2023-05-14,5,False
2023-05-21,5,False
2023-05-28,7,False
2023-06-04,5,False
2023-06-11,0,False
2023-06-18,5,False
2023-06-25,0,False
2023-07-02,0,False
2023-07-09,4,False
2023-07-16,0,False
2023-07-23,0,False
2023-07-30,0,False
2023-08-06,0,False
2023-08-13,0,False
2023-08-20,0,False
2023-08-27,6,False
2023-09-03,4,False
2023-09-10,6,False
2023-09-17,9,False
2023-09-24,10,False
2023-10-01,7,False
2023-10-08,7,False
2023-10-15,10,False
2023-10-22,6,False
2023-10-29,8,False
2023-11-05,7,False
2023-11-12,10,False
2023-11-19,10,False
2023-11-26,8,False
2023-12-03,18,False
2023-12-10,22,False
2023-12-17,35,False
2023-12-24,39,False
2023-12-31,32,False
2024-01-07,26,False
2024-01-14,18,False
2024-01-21,21,False
2024-01-28,21,False
2024-02-04,26,False
2024-02-11,26,False
2024-02-18,27,False
2024-02-25,28,False
2024-03-03,17,False
2024-03-10,20,False
2024-03-17,20,False
2024-03-24,20,False
2024-03-31,13,False
2024-04-07,13,False
2024-04-14,11,False
2024-04-21,8,False
2024-04-28,9,False
2024-05-05,5,False
2024-05-12,8,False
2024-05-19,9,False
2024-05-26,7,False
2024-06-02,0,False
2024-06-09,6,False
2024-06-16,6,False
2024-06-23,8,False
2024-06-30,0,False
2024-07-07,7,False
2024-07-14,0,False
2024-07-21,7,False
2024-07-28,0,False
2024-08-04,0,False
2024-08-11,0,False
2024-08-18,0,False
2024-08-25,0,False
2024-09-01,0,False
2024-09-08,6,False
2024-09-15,11,False
2024-09-22,10,False
2024-09-29,11,False
2024-10-06,10,False
2024-10-13,10,False
2024-10-20,10,False
2024-10-27,7,False
2024-11-03,6,False
2024-11-10,10,False
2024-11-17,5,False
2024-11-24,7,False
2024-12-01,16,False
2024-12-08,14,False
2024-12-15,19,False
2024-12-22,40,False
2024-12-29,38,False
2025-01-05,37,False
2025-01-12,49,False
2025-01-19,48,False
2025-01-26,56,False
2025-02-02,52,False
2025-02-09,63,False
2025-02-16,51,False
2025-02-23,34,False
2025-03-02,23,False
2025-03-09,31,False
2025-03-16,19,False
2025-03-23,25,False
2025-03-30,17,False
2025-04-06,17,False
2025-04-13,16,False
2025-04-20,10,False
2025-04-27,0,False
2025-05-04,7,False
2025-05-11,5,False
2025-05-18,7,False
2025-05-25,6,False
2025-06-01,7,False
2025-06-08,0,False
2025-06-15,0,False
2025-06-22,0,False
2025-06-29,5,False
2025-07-06,0,False
2025-07-13,0,False
2025-07-20,0,False
2025-07-27,0,False
2025-08-03,0,False
2025-08-10,0,False
2025-08-17,0,False
2025-08-24,6,False
2025-08-31,5,False
2025-09-07,6,False
2025-09-14,6,False
2025-09-21,11,False
2025-09-28,7,False
2025-10-05,8,False
2025-10-12,8,False
2025-10-19,10,False
2025-10-26,10,False
2025-11-02,9,False
2025-11-09,11,False
2025-11-16,15,False
2025-11-23,16,False
2025-11-30,30,False
2025-12-07,46,False
2025-12-14,83,False
2025-12-21,100,False
2025-12-28,81,False
2026-01-04,53,False
2026-01-11,31,False
2026-01-18,22,False
2026-01-25,20,False
2026-02-01,17,False
2026-02-08,20,False
2026-02-15,20,False
2026-02-22,16,False
2026-03-01,13,False
2026-03-08,18,False
2026-03-15,14,False
2026-03-22,16,False
2026-03-29,14,False
2026-04-05,12,False
2026-04-12,11,False
2026-04-19,7,False
2026-04-26,0,False
2026-05-03,5,False
2026-05-10,0,False
2026-05-17,6,False
2026-05-24,7,False
2026-05-31,8,False
2026-06-07,0,False
2026-06-14,0,False
2026-06-21,5,False
2026-06-28,0,False
2026-07-05,0,False
2026-07-12,0,False
2026-07-19,0,False
2026-07-26,0,False
2026-08-02,0,False
2026-08-09,0,False
2026-08-16,0,False
2026-08-23,0,False
2026-08-30,8,False
2026-09-06,6,False
2026-09-13,7,True
