date,yahoo_GSPC_Close_W
2004-01-04,1108.47998046875
2004-01-11,1121.8599853515625
2004-01-18,1139.8299560546875
2004-01-25,1141.550048828125
2004-02-01,1131.1300048828125
2004-02-08,1142.760009765625
2004-02-15,1145.81005859375
2004-02-22,1144.1099853515625
2004-02-29,1144.93994140625
2004-03-07,1156.8599853515625
2004-03-14,1120.5699462890625
2004-03-21,1109.780029296875
2004-03-28,1108.06005859375
2004-04-04,1141.81005859375
2004-04-11,1139.3199462890625
2004-04-18,1134.6099853515625
2004-04-25,1140.5999755859375
2004-05-02,1107.300048828125
2004-05-09,1098.699951171875
2004-05-16,1095.699951171875
2004-05-23,1093.56005859375
2004-05-30,1120.6800537109375
2004-06-06,1122.5
2004-06-13,1136.469970703125
2004-06-20,1135.02001953125
2004-06-27,1134.4300537109375
2004-07-04,1125.3800048828125
2004-07-11,1112.81005859375
2004-07-18,1101.3900146484375
2004-07-25,1086.199951171875
2004-08-01,1101.719970703125
2004-08-08,1063.969970703125
2004-08-15,1064.800048828125
2004-08-22,1098.3499755859375
2004-08-29,1107.77001953125
2004-09-05,1113.6300048828125
2004-09-12,1123.9200439453125
2004-09-19,1128.550048828125
2004-09-26,1110.1099853515625
2004-10-03,1131.5
2004-10-10,1122.1400146484375
2004-10-17,1108.199951171875
2004-10-24,1095.739990234375
2004-10-31,1130.199951171875
2004-11-07,1166.1700439453125
2004-11-14,1184.1700439453125
2004-11-21,1170.3399658203125
2004-11-28,1182.6500244140625
2004-12-05,1191.1700439453125
2004-12-12,1188.0
2004-12-19,1194.199951171875
2004-12-26,1210.1300048828125
2005-01-02,1211.9200439453125
2005-01-09,1186.18994140625
2005-01-16,1184.52001953125
2005-01-23,1167.8699951171875
2005-01-30,1171.3599853515625
2005-02-06,1203.030029296875
2005-02-13,1205.300048828125
2005-02-20,1201.5899658203125
2005-02-27,1211.3699951171875
2005-03-06,1222.1199951171875
2005-03-13,1200.0799560546875
2005-03-20,1189.6500244140625
2005-03-27,1171.4200439453125
2005-04-03,1172.9200439453125
2005-04-10,1181.199951171875
2005-04-17,1142.6199951171875
2005-04-24,1152.1199951171875
2005-05-01,1156.8499755859375
2005-05-08,1171.3499755859375
2005-05-15,1154.050048828125
2005-05-22,1189.280029296875
2005-05-29,1198.780029296875
2005-06-05,1196.02001953125
2005-06-12,1198.1099853515625
2005-06-19,1216.9599609375
2005-06-26,1191.5699462890625
2005-07-03,1194.43994140625
2005-07-10,1211.8599853515625
2005-07-17,1227.9200439453125
2005-07-24,1233.6800537109375
2005-07-31,1234.1800537109375
2005-08-07,1226.4200439453125
