date,yahoo_GSPC_Close_M
2004-01-01,1131.1300048828125
2004-02-01,1144.93994140625
2004-03-01,1126.2099609375
2004-04-01,1107.300048828125
2004-05-01,1120.6800537109375
2004-06-01,1140.8399658203125
2004-07-01,1101.719970703125
2004-08-01,1104.239990234375
2004-09-01,1114.5799560546875
2004-10-01,1130.199951171875
2004-11-01,1173.8199462890625
2004-12-01,1211.9200439453125
2005-01-01,1181.27001953125
2005-02-01,1203.5999755859375
2005-03-01,1180.5899658203125
2005-04-01,1156.8499755859375
2005-05-01,1191.5
2005-06-01,1191.3299560546875
2005-07-01,1234.1800537109375
2005-08-01,1220.3299560546875
2005-09-01,1228.81005859375
2005-10-01,1207.010009765625
2005-11-01,1249.47998046875
2005-12-01,1248.2900390625
2006-01-01,1280.0799560546875
2006-02-01,1280.6600341796875
2006-03-01,1294.8699951171875
2006-04-01,1310.6099853515625
2006-05-01,1270.0899658203125
2006-06-01,1270.199951171875
2006-07-01,1276.6600341796875
2006-08-01,1303.8199462890625
2006-09-01,1335.8499755859375
2006-10-01,1377.93994140625
2006-11-01,1400.6300048828125
2006-12-01,1418.300048828125
2007-01-01,1438.239990234375
2007-02-01,1406.8199462890625
2007-03-01,1420.8599853515625
2007-04-01,1482.3699951171875
2007-05-01,1530.6199951171875
2007-06-01,1503.3499755859375
2007-07-01,1455.27001953125
2007-08-01,1473.989990234375
2007-09-01,1526.75
2007-10-01,1549.3800048828125
2007-11-01,1481.1400146484375
2007-12-01,1468.3599853515625
2008-01-01,1378.550048828125
2008-02-01,1330.6300048828125
2008-03-01,1322.699951171875
2008-04-01,1385.5899658203125
2008-05-01,1400.3800048828125
2008-06-01,1280.0
2008-07-01,1267.3800048828125
2008-08-01,1282.8299560546875
2008-09-01,1166.3599853515625
2008-10-01,968.75
2008-11-01,896.239990234375
2008-12-01,903.25
2009-01-01,825.8800048828125
2009-02-01,735.0900268554688
2009-03-01,797.8699951171875
2009-04-01,872.8099975585938
2009-05-01,919.1400146484375
2009-06-01,919.3200073242188
2009-07-01,987.47998046875
2009-08-01,1020.6199951171875
2009-09-01,1057.0799560546875
2009-10-01,1036.18994140625
