date,stock market news,isPartial
2021-09-12,12,False
2021-09-19,20,False
2021-09-26,17,False
2021-10-03,16,False
2021-10-10,13,False
2021-10-17,12,False
2021-10-24,11,False
2021-10-31,12,False
2021-11-07,13,False
2021-11-14,12,False
2021-11-21,14,False
2021-11-28,22,False
2021-12-05,15,False
2021-12-12,17,False
2021-12-19,14,False
2021-12-26,12,False
2022-01-02,16,False
2022-01-09,13,False
2022-01-16,21,False
2022-01-23,28,False
2022-01-30,17,False
2022-02-06,16,False
2022-02-13,19,False
2022-02-20,32,False
2022-02-27,29,False
2022-03-06,25,False
2022-03-13,20,False
2022-03-20,16,False
2022-03-27,14,False
2022-04-03,14,False
2022-04-10,13,False
2022-04-17,16,False
2022-04-24,22,False
2022-05-01,21,False
2022-05-08,25,False
2022-05-15,22,False
2022-05-22,19,False
2022-05-29,14,False
2022-06-05,16,False
2022-06-12,29,False
2022-06-19,18,False
2022-06-26,15,False
2022-07-03,13,False
2022-07-10,14,False
2022-07-17,14,False
2022-07-24,15,False
2022-07-31,13,False
2022-08-07,13,False
2022-08-14,14,False
2022-08-21,15,False
2022-08-28,16,False
2022-09-04,12,False
2022-09-11,20,False
2022-09-18,20,False
2022-09-25,19,False
2022-10-02,18,False
2022-10-09,19,False
2022-10-16,15,False
2022-10-23,14,False
2022-10-30,14,False
2022-11-06,17,False
2022-11-13,14,False
2022-11-20,10,False
2022-11-27,12,False
2022-12-04,12,False
2022-12-11,13,False
2022-12-18,12,False
2022-12-25,11,False
2023-01-01,12,False
2023-01-08,12,False
2023-01-15,12,False
2023-01-22,12,False
2023-01-29,14,False
2023-02-05,14,False
2023-02-12,12,False
2023-02-19,13,False
2023-02-26,12,False
2023-03-05,16,False
2023-03-12,23,False
2023-03-19,17,False
2023-03-26,13,False
2023-04-02,13,False
2023-04-09,12,False
2023-04-16,12,False
2023-04-23,14,False
2023-04-30,13,False
2023-05-07,12,False
2023-05-14,12,False
2023-05-21,14,False
2023-05-28,11,False
2023-06-04,11,False
2023-06-11,12,False
2023-06-18,11,False
2023-06-25,10,False
2023-07-02,10,False
2023-07-09,10,False
2023-07-16,10,False
2023-07-23,12,False
2023-07-30,12,False
2023-08-06,11,False
2023-08-13,14,False
2023-08-20,13,False
2023-08-27,10,False
2023-09-03,9,False
2023-09-10,9,False
2023-09-17,10,False
2023-09-24,10,False
2023-10-01,12,False
2023-10-08,12,False
2023-10-15,11,False
2023-10-22,12,False
2023-10-29,10,False
2023-11-05,10,False
2023-11-12,10,False
2023-11-19,7,False
2023-11-26,8,False
2023-12-03,9,False
2023-12-10,12,False
2023-12-17,11,False
2023-12-24,8,False
2023-12-31,9,False
2024-01-07,9,False
2024-01-14,10,False
2024-01-21,9,False
2024-01-28,9,False
2024-02-04,9,False
2024-02-11,10,False
2024-02-18,10,False
2024-02-25,9,False
2024-03-03,10,False
2024-03-10,9,False
2024-03-17,10,False
2024-03-24,8,False
2024-03-31,12,False
2024-04-07,10,False
2024-04-14,14,False
2024-04-21,10,False
2024-04-28,10,False
2024-05-05,8,False
2024-05-12,8,False
2024-05-19,8,False
2024-05-26,8,False
2024-06-02,10,False
2024-06-09,10,False
2024-06-16,9,False
2024-06-23,8,False
2024-06-30,7,False
2024-07-07,10,False
2024-07-14,12,False
2024-07-21,14,False
2024-07-28,17,False
2024-08-04,39,False
2024-08-11,12,False
2024-08-18,12,False
2024-08-25,10,False
2024-09-01,13,False
2024-09-08,10,False
2024-09-15,12,False
2024-09-22,9,False
2024-09-29,11,False
2024-10-06,9,False
2024-10-13,10,False
2024-10-20,10,False
2024-10-27,11,False
2024-11-03,16,False
2024-11-10,12,False
2024-11-17,10,False
2024-11-24,8,False
2024-12-01,9,False
2024-12-08,10,False
2024-12-15,16,False
2024-12-22,9,False
2024-12-29,10,False
2025-01-05,13,False
2025-01-12,11,False
2025-01-19,21,False
2025-01-26,19,False
2025-02-02,20,False
2025-02-09,13,False
2025-02-16,16,False
2025-02-23,22,False
2025-03-02,31,False
2025-03-09,42,False
2025-03-16,23,False
2025-03-23,21,False
2025-03-30,61,False
2025-04-06,90,False
2025-04-13,31,False
2025-04-20,33,False
2025-04-27,25,False
2025-05-04,23,False
2025-05-11,23,False
2025-05-18,26,False
2025-05-25,25,False
2025-06-01,19,False
2025-06-08,22,False
2025-06-15,20,False
2025-06-22,29,False
2025-06-29,25,False
2025-07-06,28,False
2025-07-13,39,False
2025-07-20,46,False
2025-07-27,86,False
2025-08-03,45,False
2025-08-10,42,False
2025-08-17,38,False
2025-08-24,36,False
2025-08-31,38,False
2025-09-07,29,False
2025-09-14,32,False
2025-09-21,43,False
2025-09-28,38,False
2025-10-05,36,False
2025-10-12,34,False
2025-10-19,24,False
2025-10-26,32,False
2025-11-02,53,False
2025-11-09,51,False
2025-11-16,60,False
2025-11-23,53,False
2025-11-30,65,False
2025-12-07,64,False
2025-12-14,40,False
2025-12-21,34,False
2025-12-28,34,False
2026-01-04,38,False
2026-01-11,35,False
2026-01-18,42,False
2026-01-25,43,False
2026-02-01,48,False
2026-02-08,42,False
2026-02-15,40,False
2026-02-22,44,False
2026-03-01,59,False
2026-03-08,54,False
2026-03-15,66,False
2026-03-22,45,False
2026-03-29,61,False
2026-04-05,100,False
2026-04-12,45,False
2026-04-19,56,False
2026-04-26,59,False
2026-05-03,34,False
2026-05-10,37,False
2026-05-17,37,False
2026-05-24,36,False
2026-05-31,59,False
2026-06-07,73,False
2026-06-14,49,False
2026-06-21,64,False
2026-06-28,52,False
2026-07-05,65,False
2026-07-12,64,False
2026-07-19,50,False
2026-07-26,51,False
2026-08-02,42,False
2026-08-09,26,False
2026-08-16,24,False
2026-08-23,19,False
2026-08-30,22,False
2026-09-06,17,False
2026-09-13,25,True
