date,what is a fever,isPartial
2021-09-12,52,False
2021-09-19,47,False
2021-09-26,46,False
2021-10-03,42,False
2021-10-10,44,False
2021-10-17,41,False
2021-10-24,43,False
2021-10-31,43,False
2021-11-07,43,False
2021-11-14,47,False
2021-11-21,42,False
2021-11-28,52,False
2021-12-05,51,False
2021-12-12,54,False
2021-12-19,71,False
2021-12-26,94,False
2022-01-02,100,False
2022-01-09,92,False
2022-01-16,75,False
2022-01-23,56,False
2022-01-30,48,False
2022-02-06,43,False
2022-02-13,41,False
2022-02-20,37,False
2022-02-27,40,False
2022-03-06,36,False
2022-03-13,41,False
2022-03-20,40,False
2022-03-27,40,False
2022-04-03,45,False
2022-04-10,44,False
2022-04-17,46,False
2022-04-24,45,False
2022-05-01,44,False
2022-05-08,52,False
2022-05-15,48,False
2022-05-22,49,False
2022-05-29,47,False
2022-06-05,45,False
2022-06-12,40,False
2022-06-19,41,False
2022-06-26,44,False
2022-07-03,43,False
2022-07-10,46,False
2022-07-17,47,False
2022-07-24,43,False
2022-07-31,39,False
2022-08-07,41,False
2022-08-14,40,False
2022-08-21,43,False
2022-08-28,44,False
2022-09-04,42,False
2022-09-11,45,False
2022-09-18,46,False
2022-09-25,42,False
2022-10-02,42,False
2022-10-09,46,False
2022-10-16,47,False
2022-10-23,55,False
2022-10-30,61,False
2022-11-06,56,False
2022-11-13,62,False
2022-11-20,62,False
2022-11-27,62,False
2022-12-04,65,False
2022-12-11,63,False
2022-12-18,59,False
2022-12-25,52,False
2023-01-01,41,False
2023-01-08,39,False
2023-01-15,40,False
2023-01-22,41,False
2023-01-29,43,False
2023-02-05,44,False
2023-02-12,42,False
2023-02-19,42,False
2023-02-26,42,False
2023-03-05,40,False
2023-03-12,40,False
2023-03-19,44,False
2023-03-26,41,False
2023-04-02,39,False
2023-04-09,39,False
2023-04-16,40,False
2023-04-23,40,False
2023-04-30,38,False
2023-05-07,37,False
2023-05-14,36,False
2023-05-21,35,False
2023-05-28,32,False
2023-06-04,31,False
2023-06-11,30,False
2023-06-18,28,False
2023-06-25,31,False
2023-07-02,27,False
2023-07-09,27,False
2023-07-16,26,False
2023-07-23,29,False
2023-07-30,27,False
2023-08-06,30,False
2023-08-13,31,False
2023-08-20,33,False
2023-08-27,38,False
2023-09-03,40,False
2023-09-10,39,False
2023-09-17,42,False
2023-09-24,40,False
2023-10-01,38,False
2023-10-08,41,False
2023-10-15,40,False
2023-10-22,42,False
2023-10-29,44,False
2023-11-05,46,False
2023-11-12,49,False
2023-11-19,40,False
2023-11-26,50,False
2023-12-03,54,False
2023-12-10,60,False
2023-12-17,77,False
2023-12-24,56,False
2023-12-31,49,False
2024-01-07,49,False
2024-01-14,46,False
2024-01-21,49,False
2024-01-28,51,False
2024-02-04,54,False
2024-02-11,52,False
2024-02-18,50,False
2024-02-25,50,False
2024-03-03,48,False
2024-03-10,43,False
2024-03-17,40,False
2024-03-24,41,False
2024-03-31,39,False
2024-04-07,41,False
2024-04-14,42,False
2024-04-21,41,False
2024-04-28,39,False
2024-05-05,39,False
2024-05-12,38,False
2024-05-19,36,False
2024-05-26,33,False
2024-06-02,33,False
2024-06-09,33,False
2024-06-16,34,False
2024-06-23,33,False
2024-06-30,35,False
2024-07-07,37,False
2024-07-14,35,False
2024-07-21,36,False
2024-07-28,34,False
2024-08-04,34,False
2024-08-11,35,False
2024-08-18,41,False
2024-08-25,47,False
2024-09-01,44,False
2024-09-08,47,False
2024-09-15,46,False
2024-09-22,44,False
2024-09-29,40,False
2024-10-06,42,False
2024-10-13,42,False
2024-10-20,48,False
2024-10-27,46,False
2024-11-03,43,False
2024-11-10,47,False
2024-11-17,49,False
2024-11-24,43,False
2024-12-01,53,False
2024-12-08,54,False
2024-12-15,60,False
2024-12-22,59,False
2024-12-29,59,False
2025-01-05,51,False
2025-01-12,61,False
2025-01-19,63,False
2025-01-26,76,False
2025-02-02,74,False
2025-02-09,66,False
2025-02-16,60,False
2025-02-23,58,False
2025-03-02,53,False
2025-03-09,51,False
2025-03-16,48,False
2025-03-23,44,False
2025-03-30,45,False
2025-04-06,44,False
2025-04-13,43,False
2025-04-20,42,False
2025-04-27,41,False
2025-05-04,42,False
2025-05-11,40,False
2025-05-18,40,False
2025-05-25,36,False
2025-06-01,34,False
2025-06-08,35,False
2025-06-15,34,False
2025-06-22,35,False
2025-06-29,33,False
2025-07-06,34,False
2025-07-13,35,False
2025-07-20,32,False
2025-07-27,32,False
2025-08-03,35,False
2025-08-10,34,False
2025-08-17,39,False
2025-08-24,43,False
2025-08-31,46,False
2025-09-07,43,False
2025-09-14,49,False
2025-09-21,50,False
2025-09-28,47,False
2025-10-05,43,False
2025-10-12,43,False
2025-10-19,44,False
2025-10-26,45,False
2025-11-02,50,False
2025-11-09,49,False
2025-11-16,53,False
2025-11-23,47,False
2025-11-30,58,False
2025-12-07,65,False
2025-12-14,68,False
2025-12-21,73,False
2025-12-28,67,False
2026-01-04,60,False
2026-01-11,59,False
2026-01-18,64,False
2026-01-25,61,False
2026-02-01,76,False
2026-02-08,69,False
2026-02-15,66,False
2026-02-22,70,False
2026-03-01,66,False
2026-03-08,62,False
2026-03-15,62,False
2026-03-22,67,False
2026-03-29,59,False
2026-04-05,60,False
2026-04-12,55,False
2026-04-19,71,False
2026-04-26,64,False
2026-05-03,73,False
2026-05-10,65,False
2026-05-17,70,False
2026-05-24,75,False
2026-05-31,95,False
2026-06-07,87,False
2026-06-14,89,False
2026-06-21,75,False
2026-06-28,45,False
2026-07-05,49,False
2026-07-12,45,False
2026-07-19,36,False
2026-07-26,34,False
2026-08-02,36,False
2026-08-09,37,False
2026-08-16,41,False
2026-08-23,44,False
2026-08-30,47,False
2026-09-06,47,False
2026-09-13,51,True
