date,body aches,isPartial
2021-09-12,29,False
2021-09-19,29,False
2021-09-26,27,False
2021-10-03,28,False
2021-10-10,32,False
2021-10-17,23,False
2021-10-24,25,False
2021-10-31,31,False
2021-11-07,36,False
2021-11-14,33,False
2021-11-21,31,False
2021-11-28,37,False
2021-12-05,41,False
2021-12-12,50,False
2021-12-19,75,False
2021-12-26,100,False
2022-01-02,86,False
2022-01-09,53,False
2022-01-16,41,False
2022-01-23,32,False
2022-01-30,31,False
2022-02-06,28,False
2022-02-13,28,False
2022-02-20,29,False
2022-02-27,34,False
2022-03-06,31,False
2022-03-13,33,False
2022-03-20,32,False
2022-03-27,25,False
2022-04-03,39,False
2022-04-10,44,False
2022-04-17,40,False
2022-04-24,39,False
2022-05-01,40,False
2022-05-08,42,False
2022-05-15,41,False
2022-05-22,33,False
2022-05-29,32,False
2022-06-05,36,False
2022-06-12,37,False
2022-06-19,31,False
2022-06-26,37,False
2022-07-03,31,False
2022-07-10,34,False
2022-07-17,32,False
2022-07-24,39,False
2022-07-31,35,False
2022-08-07,33,False
2022-08-14,36,False
2022-08-21,36,False
2022-08-28,31,False
2022-09-04,22,False
2022-09-11,32,False
2022-09-18,35,False
2022-09-25,33,False
2022-10-02,32,False
2022-10-09,32,False
2022-10-16,31,False
2022-10-23,27,False
2022-10-30,40,False
2022-11-06,36,False
2022-11-13,40,False
2022-11-20,50,False
2022-11-27,53,False
2022-12-04,51,False
2022-12-11,53,False
2022-12-18,52,False
2022-12-25,51,False
2023-01-01,45,False
2023-01-08,41,False
2023-01-15,37,False
2023-01-22,39,False
2023-01-29,36,False
2023-02-05,34,False
2023-02-12,32,False
2023-02-19,34,False
2023-02-26,29,False
2023-03-05,33,False
2023-03-12,29,False
2023-03-19,36,False
2023-03-26,33,False
2023-04-02,30,False
2023-04-09,29,False
2023-04-16,36,False
2023-04-23,26,False
2023-04-30,34,False
2023-05-07,33,False
2023-05-14,38,False
2023-05-21,32,False
2023-05-28,31,False
2023-06-04,31,False
2023-06-11,33,False
2023-06-18,29,False
2023-06-25,27,False
2023-07-02,29,False
2023-07-09,25,False
2023-07-16,33,False
2023-07-23,28,False
2023-07-30,27,False
2023-08-06,29,False
2023-08-13,32,False
2023-08-20,33,False
2023-08-27,36,False
2023-09-03,32,False
2023-09-10,35,False
2023-09-17,34,False
2023-09-24,34,False
2023-10-01,35,False
2023-10-08,26,False
2023-10-15,30,False
2023-10-22,25,False
2023-10-29,27,False
2023-11-05,31,False
2023-11-12,33,False
2023-11-19,30,False
2023-11-26,38,False
2023-12-03,41,False
2023-12-10,48,False
2023-12-17,53,False
2023-12-24,63,False
2023-12-31,53,False
2024-01-07,36,False
2024-01-14,40,False
2024-01-21,46,False
2024-01-28,45,False
2024-02-04,36,False
2024-02-11,43,False
2024-02-18,51,False
2024-02-25,43,False
2024-03-03,35,False
2024-03-10,32,False
2024-03-17,36,False
2024-03-24,34,False
2024-03-31,40,False
2024-04-07,36,False
2024-04-14,39,False
2024-04-21,37,False
2024-04-28,36,False
2024-05-05,32,False
2024-05-12,34,False
2024-05-19,36,False
2024-05-26,31,False
2024-06-02,32,False
2024-06-09,29,False
2024-06-16,33,False
2024-06-23,30,False
2024-06-30,33,False
2024-07-07,28,False
2024-07-14,28,False
2024-07-21,32,False
2024-07-28,35,False
2024-08-04,30,False
2024-08-11,32,False
2024-08-18,35,False
2024-08-25,32,False
2024-09-01,35,False
2024-09-08,33,False
2024-09-15,31,False
2024-09-22,36,False
2024-09-29,35,False
2024-10-06,37,False
2024-10-13,31,False
2024-10-20,28,False
2024-10-27,32,False
2024-11-03,31,False
2024-11-10,34,False
2024-11-17,38,False
2024-11-24,30,False
2024-12-01,32,False
2024-12-08,31,False
2024-12-15,42,False
2024-12-22,50,False
2024-12-29,67,False
2025-01-05,49,False
2025-01-12,60,False
2025-01-19,51,False
2025-01-26,59,False
2025-02-02,54,False
2025-02-09,51,False
2025-02-16,47,False
2025-02-23,50,False
2025-03-02,40,False
2025-03-09,44,False
2025-03-16,37,False
2025-03-23,38,False
2025-03-30,38,False
2025-04-06,39,False
2025-04-13,40,False
2025-04-20,36,False
2025-04-27,32,False
2025-05-04,31,False
2025-05-11,32,False
2025-05-18,29,False
2025-05-25,39,False
2025-06-01,29,False
2025-06-08,28,False
2025-06-15,23,False
2025-06-22,29,False
2025-06-29,26,False
2025-07-06,27,False
2025-07-13,24,False
2025-07-20,34,False
2025-07-27,28,False
2025-08-03,26,False
2025-08-10,39,False
2025-08-17,28,False
2025-08-24,32,False
2025-08-31,32,False
2025-09-07,33,False
2025-09-14,28,False
2025-09-21,38,False
2025-09-28,28,False
2025-10-05,30,False
2025-10-12,27,False
2025-10-19,29,False
2025-10-26,25,False
2025-11-02,31,False
2025-11-09,37,False
2025-11-16,31,False
2025-11-23,41,False
2025-11-30,41,False
2025-12-07,46,False
2025-12-14,63,False
2025-12-21,70,False
2025-12-28,57,False
2026-01-04,54,False
2026-01-11,40,False
2026-01-18,34,False
2026-01-25,28,False
2026-02-01,34,False
2026-02-08,32,False
2026-02-15,40,False
2026-02-22,33,False
2026-03-01,44,False
2026-03-08,44,False
2026-03-15,44,False
2026-03-22,50,False
2026-03-29,46,False
2026-04-05,38,False
2026-04-12,40,False
2026-04-19,34,False
2026-04-26,33,False
2026-05-03,34,False
2026-05-10,43,False
2026-05-17,35,False
2026-05-24,44,False
2026-05-31,39,False
2026-06-07,41,False
2026-06-14,37,False
2026-06-21,32,False
2026-06-28,27,False
2026-07-05,30,False
2026-07-12,33,False
2026-07-19,26,False
2026-07-26,22,False
2026-08-02,27,False
2026-08-09,31,False
2026-08-16,22,False
2026-08-23,31,False
2026-08-30,31,False
2026-09-06,27,False
2026-09-13,33,True
