date,fever symptoms,isPartial
2021-09-12,32,False
2021-09-19,28,False
2021-09-26,27,False
2021-10-03,25,False
2021-10-10,25,False
2021-10-17,24,False
2021-10-24,22,False
2021-10-31,24,False
2021-11-07,24,False
2021-11-14,24,False
2021-11-21,25,False
2021-11-28,27,False
2021-12-05,27,False
2021-12-12,30,False
2021-12-19,42,False
2021-12-26,58,False
2022-01-02,56,False
2022-01-09,46,False
2022-01-16,40,False
2022-01-23,31,False
2022-01-30,26,False
2022-02-06,22,False
2022-02-13,23,False
2022-02-20,21,False
2022-02-27,21,False
2022-03-06,22,False
2022-03-13,24,False
2022-03-20,24,False
2022-03-27,22,False
2022-04-03,23,False
2022-04-10,26,False
2022-04-17,24,False
2022-04-24,27,False
2022-05-01,27,False
2022-05-08,30,False
2022-05-15,31,False
2022-05-22,30,False
2022-05-29,32,False
2022-06-05,33,False
2022-06-12,29,False
2022-06-19,30,False
2022-06-26,29,False
2022-07-03,31,False
2022-07-10,29,False
2022-07-17,30,False
2022-07-24,29,False
2022-07-31,29,False
2022-08-07,28,False
2022-08-14,27,False
2022-08-21,26,False
2022-08-28,28,False
2022-09-04,25,False
2022-09-11,26,False
2022-09-18,25,False
2022-09-25,25,False
2022-10-02,24,False
2022-10-09,27,False
2022-10-16,27,False
2022-10-23,30,False
2022-10-30,33,False
2022-11-06,34,False
2022-11-13,34,False
2022-11-20,36,False
2022-11-27,36,False
2022-12-04,34,False
2022-12-11,36,False
2022-12-18,36,False
2022-12-25,34,False
2023-01-01,29,False
2023-01-08,29,False
2023-01-15,25,False
2023-01-22,25,False
2023-01-29,28,False
2023-02-05,27,False
2023-02-12,29,False
2023-02-19,27,False
2023-02-26,26,False
2023-03-05,27,False
2023-03-12,26,False
2023-03-19,27,False
2023-03-26,28,False
2023-04-02,27,False
2023-04-09,29,False
2023-04-16,28,False
2023-04-23,27,False
2023-04-30,26,False
2023-05-07,27,False
2023-05-14,28,False
2023-05-21,30,False
2023-05-28,27,False
2023-06-04,25,False
2023-06-11,26,False
2023-06-18,25,False
2023-06-25,29,False
2023-07-02,25,False
2023-07-09,23,False
