date,dow jones,isPartial
2021-09-12,23,False
2021-09-19,35,False
2021-09-26,30,False
2021-10-03,30,False
2021-10-10,27,False
2021-10-17,27,False
2021-10-24,26,False
2021-10-31,26,False
2021-11-07,26,False
2021-11-14,24,False
2021-11-21,22,False
2021-11-28,36,False
2021-12-05,31,False
2021-12-12,30,False
2021-12-19,29,False
2021-12-26,30,False
2022-01-02,24,False
2022-01-09,22,False
2022-01-16,24,False
2022-01-23,36,False
2022-01-30,30,False
2022-02-06,27,False
2022-02-13,29,False
2022-02-20,38,False
2022-02-27,34,False
2022-03-06,36,False
2022-03-13,33,False
2022-03-20,27,False
2022-03-27,25,False
2022-04-03,24,False
2022-04-10,22,False
2022-04-17,24,False
2022-04-24,29,False
2022-05-01,36,False
2022-05-08,41,False
2022-05-15,42,False
2022-05-22,38,False
2022-05-29,29,False
2022-06-05,34,False
2022-06-12,51,False
2022-06-19,38,False
2022-06-26,37,False
2022-07-03,30,False
2022-07-10,33,False
2022-07-17,35,False
2022-07-24,35,False
2022-07-31,33,False
2022-08-07,33,False
2022-08-14,32,False
2022-08-21,32,False
2022-08-28,31,False
2022-09-04,25,False
2022-09-11,37,False
2022-09-18,38,False
2022-09-25,39,False
2022-10-02,41,False
2022-10-09,38,False
2022-10-16,36,False
2022-10-23,36,False
2022-10-30,35,False
2022-11-06,38,False
2022-11-13,33,False
2022-11-20,25,False
2022-11-27,29,False
2022-12-04,28,False
2022-12-11,34,False
2022-12-18,29,False
2022-12-25,25,False
2023-01-01,25,False
2023-01-08,27,False
2023-01-15,25,False
2023-01-22,28,False
2023-01-29,30,False
2023-02-05,27,False
2023-02-12,27,False
2023-02-19,26,False
2023-02-26,26,False
2023-03-05,27,False
2023-03-12,38,False
2023-03-19,32,False
2023-03-26,27,False
2023-04-02,27,False
2023-04-09,27,False
2023-04-16,26,False
2023-04-23,26,False
2023-04-30,27,False
2023-05-07,26,False
2023-05-14,26,False
2023-05-21,25,False
2023-05-28,23,False
2023-06-04,26,False
2023-06-11,27,False
2023-06-18,22,False
2023-06-25,25,False
2023-07-02,20,False
2023-07-09,27,False
2023-07-16,27,False
2023-07-23,28,False
2023-07-30,25,False
2023-08-06,26,False
2023-08-13,24,False
2023-08-20,24,False
2023-08-27,23,False
2023-09-03,17,False
